CustomerID,Gender,SeniorCitizen,Tenure,MonthlyCharges,ContractType,PaymentMethod,InternetService,TechSupport,StreamingServices,ComplaintsCount,TotalCharges,Churn
CUST_29,Female,0,13,23.27,Month-to-month,Credit card,DSL,1,1,2,302.51,0
CUST_30,Female,0,65,44.68,Month-to-month,Bank transfer,DSL,0,0,0,2904.2,0
CUST_31,Male,0,66,117.97,One year,Electronic check,Fiber optic,0,0,0,7786.02,0
CUST_32,Male,0,30,102.88,Month-to-month,Mailed check,Fiber optic,0,0,1,3086.4,0
CUST_33,Female,0,32,79.59,Month-to-month,Electronic check,DSL,1,1,1,2546.88,0
CUST_34,Female,1,0,112.92,Month-to-month,Bank transfer,DSL,0,0,2,0.0,1
CUST_35,Female,0,43,64.53,One year,Electronic check,Fiber optic,1,0,2,2774.79,0
CUST_36,Male,1,14,118.33,Two year,Mailed check,Fiber optic,0,0,1,1656.62,0
CUST_37,Female,1,36,49.63,One year,Credit card,Fiber optic,1,0,0,1786.68,0
CUST_38,Male,0,26,44.03,One year,Credit card,DSL,0,0,0,1144.78,0
CUST_39,Male,0,47,83.8,Month-to-month,Electronic check,None,0,0,2,3938.6,0
CUST_40,Male,0,26,57.82,One year,Bank transfer,Fiber optic,1,1,1,1503.32,0
CUST_41,Male,1,11,82.64,Month-to-month,Bank transfer,Fiber optic,0,0,0,909.04,1
CUST_42,Male,0,66,50.5,Month-to-month,Credit card,DSL,0,0,1,3333.0,0
CUST_43,Female,0,29,81.79,Two year,Mailed check,DSL,1,1,2,2371.91,0
CUST_44,Female,0,65,47.57,One year,Electronic check,Fiber optic,0,0,1,3092.05,0
CUST_45,Female,0,6,25.1,One year,Electronic check,DSL,1,1,0,150.6,0
CUST_46,Female,0,33,111.21,Month-to-month,Credit card,DSL,0,0,1,3669.93,0
CUST_47,Female,0,31,108.32,Month-to-month,Bank transfer,Fiber optic,0,1,0,3357.92,0
CUST_48,Male,0,38,117.08,Month-to-month,Electronic check,Fiber optic,0,1,1,4449.04,0
CUST_49,Female,1,42,91.65,Month-to-month,Bank transfer,Fiber optic,1,0,4,3849.3,1
CUST_50,Female,0,42,88.27,Month-to-month,Bank transfer,Fiber optic,0,0,1,3707.34,0
CUST_51,Male,1,2,75.9,Month-to-month,Credit card,Fiber optic,0,0,2,151.8,1
CUST_52,Female,0,45,32.59,Month-to-month,Bank transfer,Fiber optic,0,1,0,1466.55,0
CUST_53,Male,0,31,38.92,One year,Mailed check,None,0,0,2,1206.52,0
CUST_54,Female,0,42,48.95,Two year,Mailed check,Fiber optic,0,1,2,2055.9,0
CUST_55,Male,0,2,109.02,One year,Credit card,Fiber optic,0,1,2,218.04,0
CUST_56,Female,0,62,37.3,Two year,Electronic check,DSL,0,0,1,2312.6,0
CUST_57,Female,0,39,112.29,Month-to-month,Bank transfer,None,0,1,0,4379.31,0
CUST_58,Male,0,17,72.28,One year,Mailed check,DSL,1,0,0,1228.76,0
CUST_59,Male,1,66,91.56,Month-to-month,Credit card,Fiber optic,1,0,1,6042.96,0
CUST_60,Male,1,61,31.02,Month-to-month,Credit card,Fiber optic,0,0,1,1892.22,0
CUST_61,Male,0,9,46.9,Month-to-month,Bank transfer,Fiber optic,0,0,0,422.1,1
CUST_62,Male,0,51,115.85,Month-to-month,Credit card,Fiber optic,0,0,0,5908.35,0
CUST_63,Male,0,45,46.61,One year,Electronic check,Fiber optic,0,0,1,2097.45,0
CUST_64,Male,0,54,49.65,Month-to-month,Bank transfer,DSL,1,1,2,2681.1,0
CUST_65,Male,1,45,39.76,Two year,Electronic check,Fiber optic,0,1,3,1789.2,0
CUST_66,Female,0,59,32.91,Two year,Mailed check,None,0,1,1,1941.69,0
CUST_67,Female,0,25,43.33,Month-to-month,Mailed check,DSL,0,1,1,1083.25,0
CUST_68,Male,1,26,84.23,Month-to-month,Mailed check,DSL,1,1,2,2189.98,0
CUST_69,Female,0,37,65.54,One year,Mailed check,Fiber optic,1,0,1,2424.98,0
CUST_70,Female,0,21,75.38,Month-to-month,Credit card,None,0,0,1,1582.98,0
CUST_71,Female,0,25,32.24,Month-to-month,Electronic check,DSL,1,0,2,806.0,0
CUST_72,Female,0,68,100.21,One year,Credit card,DSL,0,0,0,6814.28,0
CUST_73,Male,0,34,98.41,Two year,Credit card,Fiber optic,1,1,0,3345.94,0
CUST_74,Female,0,65,22.16,One year,Mailed check,DSL,0,1,1,1440.4,0
CUST_75,Male,0,50,58.35,Month-to-month,Electronic check,Fiber optic,1,1,3,2917.5,1
CUST_76,Female,0,17,26.88,Month-to-month,Bank transfer,None,0,0,0,456.96,0
CUST_77,Female,0,42,99.21,Month-to-month,Bank transfer,DSL,0,1,0,4166.82,0
CUST_78,Female,0,11,93.73,Month-to-month,Bank transfer,Fiber optic,0,1,1,1031.03,1
CUST_79,Male,0,2,110.2,Month-to-month,Electronic check,Fiber optic,0,0,4,220.4,1
CUST_80,Female,0,6,43.64,Month-to-month,Mailed check,None,0,0,1,261.84,1
CUST_81,Male,0,5,65.63,Two year,Mailed check,None,1,1,0,328.15,0
CUST_82,Female,0,44,38.45,One year,Electronic check,Fiber optic,0,0,1,1691.8,0
CUST_83,Male,0,38,57.12,One year,Mailed check,Fiber optic,0,1,1,2170.56,0
CUST_84,Female,0,50,72.22,Two year,Electronic check,Fiber optic,0,1,0,3611.0,0
CUST_85,Male,0,8,25.33,Month-to-month,Electronic check,DSL,0,0,3,202.64,1
CUST_86,Male,0,22,91.49,Month-to-month,Bank transfer,DSL,1,0,2,2012.78,0
CUST_87,Female,0,11,74.33,One year,Bank transfer,None,1,1,1,817.63,0
CUST_88,Male,0,61,102.9,Two year,Credit card,Fiber optic,1,1,3,6276.9,0
CUST_89,Female,0,39,47.18,Month-to-month,Electronic check,DSL,1,0,3,1840.02,1
CUST_90,Female,0,53,110.33,Month-to-month,Bank transfer,None,1,0,1,5847.49,0
CUST_91,Female,0,6,119.87,One year,Bank transfer,Fiber optic,0,0,0,719.22,0
CUST_92,Female,0,16,111.93,Month-to-month,Bank transfer,DSL,0,1,0,1790.88,0
CUST_93,Female,0,49,97.79,Month-to-month,Mailed check,DSL,1,0,1,4791.71,0
CUST_94,Female,1,23,101.24,Month-to-month,Bank transfer,DSL,0,0,3,2328.52,1
CUST_95,Female,0,1,77.37,Two year,Mailed check,None,1,1,2,77.37,0
CUST_96,Female,0,32,39.02,Month-to-month,Bank transfer,None,1,0,0,1248.64,0
CUST_97,Female,0,20,87.7,Two year,Mailed check,DSL,0,1,1,1754.0,0
CUST_98,Female,0,52,91.28,Month-to-month,Mailed check,None,0,1,3,4746.56,1
CUST_99,Female,0,45,118.54,Month-to-month,Bank transfer,Fiber optic,0,0,0,5334.3,0
CUST_100,Male,0,44,74.13,Two year,Electronic check,Fiber optic,1,0,2,3261.72,0
CUST_101,Male,0,8,47.14,Month-to-month,Credit card,DSL,1,0,1,377.12,1
CUST_102,Female,0,5,88.37,Month-to-month,Credit card,Fiber optic,0,0,2,441.85,1
CUST_103,Female,0,50,117.94,Month-to-month,Electronic check,DSL,1,1,4,5897.0,1
CUST_104,Female,0,34,37.72,One year,Bank transfer,DSL,0,0,1,1282.48,0
CUST_105,Female,0,52,52.6,Month-to-month,Electronic check,DSL,0,0,2,2735.2,0
CUST_106,Female,0,18,74.19,Month-to-month,Bank transfer,DSL,0,0,1,1335.42,0
CUST_107,Female,1,68,37.02,One year,Bank transfer,None,0,0,1,2517.36,0
CUST_108,Female,0,24,22.22,Month-to-month,Bank transfer,None,0,0,1,533.28,0
CUST_109,Female,1,10,53.7,Month-to-month,Bank transfer,None,0,1,0,537.0,1
CUST_110,Male,0,16,106.54,One year,Bank transfer,DSL,0,0,0,1704.64,0
CUST_111,Female,0,35,24.35,Month-to-month,Electronic check,Fiber optic,1,0,0,852.25,0
CUST_112,Male,0,20,62.89,Month-to-month,Electronic check,Fiber optic,0,1,1,1257.8,0
CUST_113,Female,0,17,96.22,One year,Credit card,Fiber optic,0,1,1,1635.74,0
CUST_114,Female,0,59,115.32,Two year,Bank transfer,DSL,0,0,3,6803.88,0
CUST_115,Male,0,17,118.55,Month-to-month,Electronic check,Fiber optic,1,0,0,2015.35,0
CUST_116,Female,0,0,62.2,Month-to-month,Electronic check,DSL,1,0,2,0.0,1
CUST_117,Male,1,13,115.04,One year,Bank transfer,None,1,0,1,1495.52,0
CUST_118,Female,0,7,23.54,Month-to-month,Bank transfer,Fiber optic,0,1,2,164.78,1
CUST_119,Female,0,65,94.59,Month-to-month,Electronic check,Fiber optic,0,0,3,6148.35,1
CUST_120,Male,0,50,84.27,Month-to-month,Bank transfer,Fiber optic,0,1,1,4213.5,0
CUST_121,Female,0,59,44.95,One year,Mailed check,DSL,0,1,0,2652.05,0
CUST_122,Male,0,33,70.73,Month-to-month,Electronic check,DSL,0,1,1,2334.09,0
CUST_123,Female,0,35,32.96,One year,Credit card,DSL,0,0,1,1153.6,0
CUST_124,Male,1,61,107.16,One year,Bank transfer,Fiber optic,0,0,0,6536.76,0
CUST_125,Male,0,0,55.79,Month-to-month,Mailed check,DSL,1,0,3,0.0,1
CUST_126,Female,0,41,82.6,Month-to-month,Credit card,Fiber optic,0,1,2,3386.6,0
CUST_127,Female,0,0,35.88,Two year,Credit card,DSL,0,0,2,0.0,0
CUST_128,Male,1,53,40.62,Month-to-month,Credit card,DSL,0,0,0,2152.86,0
CUST_129,Female,0,46,119.2,Month-to-month,Bank transfer,DSL,1,0,2,5483.2,0
CUST_130,Female,0,38,95.31,One year,Credit card,Fiber optic,0,0,1,3621.78,0
CUST_131,Female,0,29,116.2,Month-to-month,Electronic check,Fiber optic,0,1,1,3369.8,0
CUST_132,Male,0,6,49.59,Month-to-month,Electronic check,Fiber optic,0,1,1,297.54,1
CUST_133,Male,0,21,36.46,Month-to-month,Bank transfer,DSL,0,1,1,765.66,0
CUST_134,Male,0,49,70.31,Month-to-month,Bank transfer,DSL,0,1,3,3445.19,1
CUST_135,Male,0,44,69.47,Month-to-month,Credit card,Fiber optic,0,0,0,3056.68,0
CUST_136,Male,0,71,37.49,One year,Bank transfer,DSL,1,0,3,2661.79,0
CUST_137,Male,0,9,93.32,Two year,Electronic check,DSL,1,0,1,839.88,0
CUST_138,Male,0,13,56.18,Month-to-month,Electronic check,DSL,0,0,1,730.34,0
CUST_139,Male,0,45,38.64,Month-to-month,Electronic check,Fiber optic,0,0,2,1738.8,0
CUST_140,Male,0,5,53.2,Month-to-month,Bank transfer,Fiber optic,0,1,1,266.0,1
CUST_141,Female,0,20,76.37,Month-to-month,Electronic check,DSL,0,1,1,1527.4,0
CUST_142,Male,0,61,92.65,Month-to-month,Bank transfer,Fiber optic,1,1,3,5651.65,1
CUST_143,Female,0,18,68.19,Month-to-month,Mailed check,Fiber optic,0,0,0,1227.42,0
CUST_144,Female,0,61,72.56,Two year,Credit card,Fiber optic,1,0,0,4426.16,0
CUST_145,Female,1,52,33.89,Month-to-month,Mailed check,DSL,0,1,1,1762.28,0
CUST_146,Male,0,23,111.47,Month-to-month,Electronic check,Fiber optic,0,1,0,2563.81,0
CUST_147,Male,0,55,112.87,Month-to-month,Credit card,Fiber optic,1,0,2,6207.85,0
CUST_148,Male,0,61,88.34,Month-to-month,Electronic check,DSL,0,0,0,5388.74,0
CUST_149,Male,0,33,21.76,Two year,Electronic check,Fiber optic,0,0,1,718.08,0
CUST_150,Female,0,21,73.71,Month-to-month,Mailed check,Fiber optic,0,1,1,1547.91,0
CUST_151,Male,0,67,82.92,Two year,Electronic check,Fiber optic,0,0,1,5555.64,0
CUST_152,Male,0,56,119.47,Month-to-month,Credit card,DSL,0,0,1,6690.32,0
CUST_153,Male,0,9,119.61,One year,Electronic check,DSL,1,1,1,1076.49,0
CUST_154,Male,0,65,105.76,Two year,Credit card,Fiber optic,1,1,1,6874.4,0
CUST_155,Male,0,7,26.38,Month-to-month,Mailed check,Fiber optic,1,0,1,184.66,1
CUST_156,Female,0,37,115.33,Month-to-month,Bank transfer,Fiber optic,0,0,1,4267.21,0
CUST_157,Male,0,61,81.27,One year,Electronic check,Fiber optic,1,1,0,4957.47,0
CUST_158,Female,1,27,100.09,Month-to-month,Mailed check,Fiber optic,1,0,1,2702.43,0
CUST_159,Male,1,9,60.72,One year,Electronic check,Fiber optic,0,0,0,546.48,0
CUST_160,Female,0,44,51.97,Month-to-month,Credit card,DSL,0,1,3,2286.68,1
CUST_161,Male,0,64,66.32,Month-to-month,Electronic check,Fiber optic,0,1,1,4244.48,0
CUST_162,Male,0,66,34.69,Month-to-month,Bank transfer,Fiber optic,1,0,1,2289.54,0
CUST_163,Female,0,8,55.71,Two year,Electronic check,DSL,0,1,3,445.68,1
CUST_164,Female,0,4,105.76,Month-to-month,Bank transfer,DSL,0,0,1,423.04,1
CUST_165,Female,0,9,23.8,Month-to-month,Bank transfer,DSL,1,1,0,214.2,1
CUST_166,Male,0,11,35.09,Month-to-month,Electronic check,Fiber optic,0,1,2,385.99,1
CUST_167,Female,0,57,32.51,Month-to-month,Mailed check,DSL,0,1,2,1853.07,0
CUST_168,Male,0,20,60.31,Month-to-month,Electronic check,None,1,1,1,1206.2,0
CUST_169,Male,0,20,119.7,Month-to-month,Bank transfer,None,0,1,3,2394.0,1
CUST_170,Female,0,64,37.34,One year,Mailed check,None,1,1,3,2389.76,0
CUST_171,Female,0,2,34.55,One year,Bank transfer,Fiber optic,1,0,3,69.1,0
CUST_172,Male,1,68,111.51,Month-to-month,Bank transfer,None,0,0,1,7582.68,0
CUST_173,Male,0,63,108.21,Month-to-month,Electronic check,DSL,0,0,1,6817.23,0
CUST_174,Female,0,48,23.22,Month-to-month,Credit card,Fiber optic,0,0,0,1114.56,0
CUST_175,Female,1,71,95.17,One year,Electronic check,Fiber optic,0,0,2,6757.07,0
CUST_176,Female,1,16,85.55,Month-to-month,Credit card,DSL,1,0,3,1368.8,1
CUST_177,Male,0,31,96.77,Month-to-month,Credit card,DSL,0,1,2,2999.87,0
CUST_178,Male,0,69,69.45,Month-to-month,Electronic check,Fiber optic,1,0,2,4792.05,0
CUST_179,Male,0,20,119.14,One year,Credit card,DSL,0,0,3,2382.8,0
CUST_180,Male,0,6,24.38,Two year,Bank transfer,Fiber optic,0,0,1,146.28,0
CUST_181,Male,0,6,43.44,Month-to-month,Mailed check,None,1,0,0,260.64,1
CUST_182,Male,0,26,59.65,Month-to-month,Electronic check,DSL,1,1,0,1550.9,0
CUST_183,Female,0,7,64.98,Month-to-month,Credit card,Fiber optic,1,0,0,454.86,1
CUST_184,Male,0,27,112.14,Month-to-month,Bank transfer,Fiber optic,0,0,2,3027.78,0
CUST_185,Male,0,65,76.0,Month-to-month,Mailed check,DSL,1,1,0,4940.0,0
CUST_186,Male,0,70,24.51,Two year,Credit card,None,0,0,0,1715.7,0
CUST_187,Female,0,46,60.79,Month-to-month,Credit card,None,1,0,1,2796.34,0
CUST_188,Male,0,9,61.65,One year,Bank transfer,DSL,0,0,0,554.85,0
CUST_189,Male,0,32,116.55,Month-to-month,Mailed check,DSL,0,0,2,3729.6,0
CUST_190,Female,0,6,79.92,One year,Mailed check,None,0,1,0,479.52,0
CUST_191,Male,0,2,83.57,Month-to-month,Bank transfer,None,0,0,2,167.14,1
CUST_192,Male,1,13,91.33,Month-to-month,Mailed check,Fiber optic,0,0,1,1187.29,0
CUST_193,Male,0,43,97.0,Two year,Electronic check,DSL,0,0,1,4171.0,0
CUST_194,Male,0,45,83.51,Month-to-month,Mailed check,Fiber optic,1,0,2,3757.95,0
CUST_195,Male,0,60,43.72,Month-to-month,Credit card,DSL,0,0,0,2623.2,0
CUST_196,Female,0,35,107.4,Two year,Mailed check,None,0,0,1,3759.0,0
CUST_197,Female,0,12,93.21,Month-to-month,Electronic check,Fiber optic,1,0,5,1118.52,1
CUST_198,Female,0,15,94.19,Month-to-month,Electronic check,Fiber optic,0,1,0,1412.85,0
CUST_199,Male,0,4,119.66,One year,Credit card,DSL,1,1,0,478.64,0
CUST_200,Male,0,37,100.25,Two year,Credit card,Fiber optic,0,0,2,3709.25,0
CUST_201,Male,0,49,102.92,One year,Electronic check,DSL,0,1,3,5043.08,0
CUST_202,Female,0,37,115.14,Month-to-month,Bank transfer,DSL,0,1,1,4260.18,0
CUST_203,Male,0,55,35.11,One year,Electronic check,Fiber optic,1,1,1,1931.05,0
CUST_204,Male,1,62,69.77,One year,Mailed check,Fiber optic,1,0,1,4325.74,0
CUST_205,Female,0,47,78.06,One year,Credit card,Fiber optic,1,1,2,3668.82,0
CUST_206,Male,0,58,52.93,Two year,Bank transfer,None,0,1,0,3069.94,0
CUST_207,Female,0,43,103.94,Month-to-month,Electronic check,Fiber optic,1,1,2,4469.42,0
CUST_208,Female,0,54,96.24,Month-to-month,Credit card,Fiber optic,1,1,0,5196.96,0
CUST_209,Female,0,54,92.09,One year,Mailed check,Fiber optic,0,0,3,4972.86,0
CUST_210,Male,0,0,119.71,Two year,Bank transfer,DSL,0,0,3,0.0,1
CUST_211,Male,0,7,45.94,Month-to-month,Bank transfer,Fiber optic,1,1,3,321.58,1
CUST_212,Male,0,3,93.55,Two year,Bank transfer,Fiber optic,0,0,2,280.65,0
CUST_213,Male,0,52,75.14,Two year,Mailed check,None,0,0,1,3907.28,0
CUST_214,Male,0,57,51.3,Two year,Credit card,Fiber optic,1,0,2,2924.1,0
CUST_215,Male,0,36,36.06,Two year,Electronic check,DSL,0,1,0,1298.16,0
CUST_216,Male,0,48,109.59,Two year,Credit card,DSL,1,0,2,5260.32,0
CUST_217,Female,0,66,79.55,One year,Mailed check,Fiber optic,0,1,3,5250.3,0
CUST_218,Male,0,18,102.49,One year,Credit card,DSL,0,1,0,1844.82,0
CUST_219,Female,0,0,74.53,Month-to-month,Bank transfer,Fiber optic,0,0,0,0.0,1
CUST_220,Male,0,28,42.0,Month-to-month,Electronic check,DSL,1,1,1,1176.0,0
CUST_221,Male,0,32,53.75,Month-to-month,Mailed check,None,0,0,0,1720.0,0
CUST_222,Male,0,51,58.15,Month-to-month,Bank transfer,DSL,0,0,0,2965.65,0
CUST_223,Female,1,40,117.29,Month-to-month,Credit card,Fiber optic,0,1,4,4691.6,1
CUST_224,Female,0,22,20.56,Two year,Bank transfer,DSL,0,0,1,452.32,0
CUST_225,Female,0,4,118.57,One year,Credit card,Fiber optic,1,0,2,474.28,0
CUST_226,Female,0,70,118.05,Month-to-month,Credit card,DSL,0,0,0,8263.5,0
CUST_227,Male,0,56,119.62,One year,Mailed check,Fiber optic,0,1,0,6698.72,0
CUST_228,Female,0,5,67.66,Month-to-month,Credit card,Fiber optic,0,0,4,338.3,1
CUST_229,Male,0,48,116.38,Month-to-month,Bank transfer,Fiber optic,0,0,0,5586.24,0
CUST_230,Male,0,21,59.56,Two year,Mailed check,Fiber optic,0,1,1,1250.76,0
CUST_231,Female,0,3,22.63,Month-to-month,Electronic check,Fiber optic,1,0,1,67.89,1
CUST_232,Female,0,71,42.43,One year,Mailed check,None,1,0,0,3012.53,0
CUST_233,Female,0,63,114.53,Month-to-month,Bank transfer,None,0,1,0,7215.39,0
CUST_234,Female,1,36,21.38,Month-to-month,Credit card,Fiber optic,1,1,1,769.68,0
CUST_235,Female,0,30,74.6,One year,Mailed check,DSL,1,1,0,2238.0,0
CUST_236,Female,0,36,27.56,Month-to-month,Mailed check,None,0,1,0,992.16,0
CUST_237,Female,0,44,48.64,Two year,Mailed check,None,0,0,0,2140.16,0
CUST_238,Female,0,7,28.81,Month-to-month,Bank transfer,Fiber optic,1,1,1,201.67,1
CUST_239,Male,0,39,105.95,Month-to-month,Credit card,Fiber optic,1,0,1,4132.05,0
CUST_240,Female,0,4,79.11,Two year,Electronic check,DSL,0,0,2,316.44,0
CUST_241,Female,0,27,110.21,Two year,Electronic check,Fiber optic,1,0,1,2975.67,0
CUST_242,Male,0,8,88.84,Month-to-month,Credit card,None,0,1,0,710.72,1
CUST_243,Female,0,1,117.1,Month-to-month,Electronic check,Fiber optic,0,0,0,117.1,1
CUST_244,Male,0,62,70.99,One year,Credit card,Fiber optic,1,0,0,4401.38,0
CUST_245,Male,0,50,83.87,Month-to-month,Mailed check,DSL,1,0,1,4193.5,0
CUST_246,Female,1,30,77.63,Month-to-month,Mailed check,Fiber optic,0,0,2,2328.9,0
CUST_247,Male,0,6,68.43,One year,Bank transfer,Fiber optic,0,1,2,410.58,0
CUST_248,Male,0,29,104.6,Month-to-month,Mailed check,DSL,1,0,0,3033.4,0
CUST_249,Male,0,57,84.45,Month-to-month,Bank transfer,Fiber optic,0,0,1,4813.65,0
CUST_250,Male,1,2,100.13,Month-to-month,Electronic check,Fiber optic,0,1,1,200.26,1
CUST_251,Female,0,50,98.64,Two year,Electronic check,DSL,0,1,1,4932.0,0
CUST_252,Male,0,55,39.1,One year,Mailed check,DSL,0,1,0,2150.5,0
CUST_253,Female,0,9,85.02,One year,Credit card,None,0,0,0,765.18,0
CUST_254,Male,0,60,39.96,Month-to-month,Electronic check,DSL,0,0,0,2397.6,0
CUST_255,Male,0,49,78.33,Month-to-month,Electronic check,Fiber optic,0,1,1,3838.17,0
CUST_256,Male,0,46,87.74,Month-to-month,Electronic check,Fiber optic,1,1,0,4036.04,0
CUST_257,Male,1,0,119.72,Month-to-month,Credit card,None,1,0,0,0.0,1
CUST_258,Female,0,56,23.05,Month-to-month,Mailed check,None,0,1,1,1290.8,0
CUST_259,Female,0,37,29.12,Month-to-month,Bank transfer,Fiber optic,0,0,0,1077.44,0
CUST_260,Male,0,61,27.7,One year,Credit card,Fiber optic,0,0,1,1689.7,0
CUST_261,Male,0,69,59.84,One year,Credit card,None,0,0,2,4128.96,0
CUST_262,Female,1,64,102.16,Month-to-month,Electronic check,Fiber optic,0,0,0,6538.24,0
CUST_263,Male,0,61,104.41,One year,Bank transfer,Fiber optic,0,0,0,6369.01,0
CUST_264,Male,0,55,93.7,One year,Credit card,Fiber optic,1,0,0,5153.5,0
CUST_265,Male,0,66,109.69,Month-to-month,Electronic check,Fiber optic,1,0,0,7239.54,0
CUST_266,Female,0,16,52.29,Month-to-month,Credit card,Fiber optic,1,1,1,836.64,0
CUST_267,Female,0,7,28.82,One year,Electronic check,Fiber optic,0,0,4,201.74,1
CUST_268,Female,0,59,25.82,Month-to-month,Bank transfer,DSL,1,0,1,1523.38,0
CUST_269,Male,0,39,105.21,Month-to-month,Bank transfer,None,0,1,2,4103.19,0
CUST_270,Male,1,61,93.04,Month-to-month,Electronic check,DSL,0,0,1,5675.44,0
CUST_271,Female,0,40,89.86,Month-to-month,Mailed check,DSL,0,0,2,3594.4,0
CUST_272,Female,1,11,53.97,Two year,Credit card,Fiber optic,1,1,1,593.67,0
CUST_273,Female,0,53,57.99,One year,Mailed check,Fiber optic,0,0,1,3073.47,0
CUST_274,Female,0,10,115.81,Month-to-month,Credit card,None,0,0,1,1158.1,1
CUST_275,Male,0,59,26.38,Two year,Bank transfer,Fiber optic,1,0,0,1556.42,0
CUST_276,Female,0,67,97.37,One year,Credit card,None,0,1,1,6523.79,0
CUST_277,Male,0,45,50.96,One year,Electronic check,None,0,1,2,2293.2,0
CUST_278,Female,0,37,23.91,Month-to-month,Electronic check,None,0,0,1,884.67,0
CUST_279,Male,0,60,94.26,Month-to-month,Electronic check,DSL,0,0,0,5655.6,0
CUST_280,Female,0,16,53.09,Month-to-month,Mailed check,Fiber optic,0,0,2,849.44,0
CUST_281,Female,0,65,92.21,Month-to-month,Bank transfer,Fiber optic,0,0,2,5993.65,0
CUST_282,Female,0,71,90.77,Month-to-month,Bank transfer,Fiber optic,0,0,0,6444.67,0
CUST_283,Female,0,35,73.48,Month-to-month,Bank transfer,Fiber optic,0,1,2,2571.8,0
CUST_284,Male,0,6,97.74,Month-to-month,Electronic check,Fiber optic,0,1,1,586.44,1
CUST_285,Female,0,15,78.1,Month-to-month,Bank transfer,Fiber optic,0,1,1,1171.5,0
CUST_286,Male,0,13,48.66,One year,Mailed check,Fiber optic,0,1,1,632.58,0
CUST_287,Male,1,24,93.41,Month-to-month,Mailed check,DSL,1,0,0,2241.84,0
CUST_288,Male,0,3,78.91,One year,Mailed check,Fiber optic,1,1,0,236.73,0
CUST_289,Male,0,28,21.27,One year,Electronic check,None,0,1,2,595.56,0
CUST_290,Female,0,55,110.16,Month-to-month,Credit card,Fiber optic,0,0,4,6058.8,1
CUST_291,Male,0,5,74.56,Month-to-month,Bank transfer,None,0,0,1,372.8,1
CUST_292,Male,0,0,106.86,Two year,Mailed check,None,1,0,0,0.0,0
CUST_293,Male,0,38,108.27,Month-to-month,Credit card,Fiber optic,0,1,1,4114.26,0
CUST_294,Female,1,0,64.5,One year,Credit card,DSL,1,1,2,0.0,0
CUST_295,Female,0,62,70.77,One year,Mailed check,Fiber optic,0,1,2,4387.74,0
CUST_296,Female,0,56,61.58,Month-to-month,Mailed check,Fiber optic,1,1,2,3448.48,0
CUST_297,Female,0,66,64.94,Month-to-month,Bank transfer,Fiber optic,0,0,0,4286.04,0
